panelist,sample,intense colour,coffee odour,milk odour,sweet odour,caramelous odour,acidic odour,creamy odour,sweet taste,acidic taste,bitter taste,coffee taste,milk taste,creamy taste,caramelous taste,visually thick,visually thin,acidic aftertaste,bitter aftertaste,sweet aftertaste,creamy aftertaste,coffee aftertaste,thin,thick,refreshing,cold,light taste
pan_001,Cup,2,2,1,1,1,0,1,2,0,2,2,1,1,1,1,3,0,2,2,1,2,3,1,3,3,2
pan_002,Spoon,2,2,2,3,2,0,0,3,0,0,3,2,2,2,0,2,0,2,1,2,3,1,0,3,3,2
pan_003,Straw,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,3,3,2,3,3,3,2
pan_004,Straw,2,1,0,2,2,1,0,3,1,1,1,0,2,2,2,1,1,1,1,0,1,2,0,2,2,2
pan_005,Cup,2,1,1,1,1,1,1,1,3,3,3,1,1,2,3,2,3,3,1,2,3,2,3,3,3,3
pan_006,Spoon,2,3,2,3,3,3,3,3,3,2,3,2,3,3,1,2,3,2,1,3,3,1,3,1,2,1
pan_007,Cup,2,3,2,3,2,1,2,3,2,2,2,1,1,1,2,2,1,2,2,1,2,1,2,3,2,2
pan_008,Spoon,2,2,1,1,1,0,1,1,0,1,2,1,1,1,2,0,0,0,1,1,1,0,0,2,2,0
pan_009,Straw,2,1,1,1,1,2,0,2,1,2,2,2,1,2,2,1,0,2,1,0,2,0,0,3,2,3
pan_010,Straw,2,1,1,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3
pan_011,Cup,2,3,3,3,0,0,2,3,1,1,2,3,1,2,2,1,0,1,2,0,0,0,1,3,2,1
pan_012,Spoon,2,2,3,3,3,1,3,3,2,3,2,3,3,3,2,1,3,3,3,3,2,1,3,3,3,3
pan_013,Cup,2,1,1,1,3,2,3,2,1,1,1,2,3,3,2,0,1,0,0,2,1,1,0,2,2,1
pan_014,Spoon,2,1,0,2,0,0,0,2,0,0,2,1,1,2,3,2,0,0,0,2,0,0,0,3,3,1
pan_015,Straw,3,2,3,3,3,3,3,3,2,1,2,3,3,3,3,2,1,2,3,3,2,3,0,3,3,2
pan_016,Straw,2,1,0,3,3,2,3,3,2,1,1,3,3,3,1,3,2,1,3,3,1,3,1,1,1,3
pan_017,Cup,2,3,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,3,0,1,3,2,2,1,1,1
pan_018,Spoon,3,1,0,2,1,0,2,2,0,1,1,2,2,1,3,1,0,2,2,1,3,1,2,2,1,2
pan_019,Cup,2,2,1,2,1,0,1,2,1,1,1,1,1,2,3,2,1,0,2,1,1,1,1,1,1,2
