Panelist,Attribute,Juice,Rank
BTW,Hue,A,4
BTW,Hue,B,1
BTW,Hue,C,8
BTW,Hue,D,1
BTW,Hue,E,3
BTW,Hue,F,6
BTW,Hue,G,1
BTW,Hue,H,6
BTW,Sweetness_O,A,7
BTW,Sweetness_O,B,6
BTW,Sweetness_O,C,6
BTW,Sweetness_O,D,3
BTW,Sweetness_O,E,9
BTW,Sweetness_O,F,9
BTW,Sweetness_O,G,6
BTW,Sweetness_O,H,7
BTW,Artificial_O,A,6
BTW,Artificial_O,B,5
BTW,Artificial_O,C,2
BTW,Artificial_O,D,3
BTW,Artificial_O,E,7
BTW,Artificial_O,F,8
BTW,Artificial_O,G,1
BTW,Artificial_O,H,6
BTW,Sourness_T,A,5
BTW,Sourness_T,B,9
BTW,Sourness_T,C,8
BTW,Sourness_T,D,4
BTW,Sourness_T,E,4
BTW,Sourness_T,F,2
BTW,Sourness_T,G,5
BTW,Sourness_T,H,2
BTW,Sweetness_T,A,3
BTW,Sweetness_T,B,4
BTW,Sweetness_T,C,3
BTW,Sweetness_T,D,4
BTW,Sweetness_T,E,8
BTW,Sweetness_T,F,9
BTW,Sweetness_T,G,5
BTW,Sweetness_T,H,9
BTW,Bitterness _AF,A,3
BTW,Bitterness _AF,B,1
BTW,Bitterness _AF,C,7
BTW,Bitterness _AF,D,2
BTW,Bitterness _AF,E,7
BTW,Bitterness _AF,F,6
BTW,Bitterness _AF,G,5
BTW,Bitterness _AF,H,1
BTW,Sourness _AF,A,7
BTW,Sourness _AF,B,6
BTW,Sourness _AF,C,9
BTW,Sourness _AF,D,2
BTW,Sourness _AF,E,2
BTW,Sourness _AF,F,2
BTW,Sourness _AF,G,4
BTW,Sourness _AF,H,3
BTW,Pulp,A,1
BTW,Pulp,B,8
BTW,Pulp,C,2
BTW,Pulp,D,9
BTW,Pulp,E,1
BTW,Pulp,F,1
BTW,Pulp,G,5
BTW,Pulp,H,1
NLB,Yellow_color_intensity,A,2
NLB,Yellow_color_intensity,B,8
NLB,Yellow_color_intensity,C,1
NLB,Yellow_color_intensity,D,7
NLB,Yellow_color_intensity,E,3
NLB,Yellow_color_intensity,F,1
NLB,Yellow_color_intensity,G,8
NLB,Yellow_color_intensity,H,2
NLB,Orange_color_intensity,A,7
NLB,Orange_color_intensity,B,1
NLB,Orange_color_intensity,C,2
NLB,Orange_color_intensity,D,3
NLB,Orange_color_intensity,E,5
NLB,Orange_color_intensity,F,9
NLB,Orange_color_intensity,G,2
NLB,Orange_color_intensity,H,9
NLB,Sweetness_O,A,8
NLB,Sweetness_O,B,3
NLB,Sweetness_O,C,1
NLB,Sweetness_O,D,2
NLB,Sweetness_O,E,4
NLB,Sweetness_O,F,9
NLB,Sweetness_O,G,4
NLB,Sweetness_O,H,8
NLB,Artificial_O,A,5
NLB,Artificial_O,B,2
NLB,Artificial_O,C,6
NLB,Artificial_O,D,1
NLB,Artificial_O,E,6
NLB,Artificial_O,F,8
NLB,Artificial_O,G,3
NLB,Artificial_O,H,7
NLB,Overall_strength_of_orange_aroma,A,6
NLB,Overall_strength_of_orange_aroma,B,5
NLB,Overall_strength_of_orange_aroma,C,6
NLB,Overall_strength_of_orange_aroma,D,8
NLB,Overall_strength_of_orange_aroma,E,4
NLB,Overall_strength_of_orange_aroma,F,2
NLB,Overall_strength_of_orange_aroma,G,7
NLB,Overall_strength_of_orange_aroma,H,4
NLB,Sourness_T,A,2
NLB,Sourness_T,B,7
NLB,Sourness_T,C,8
NLB,Sourness_T,D,7
NLB,Sourness_T,E,8
NLB,Sourness_T,F,3
NLB,Sourness_T,G,7
