Panelist,Perfume,Descriptor,Value
P1,Angel,aldehyde,6.5
P1,Angel,animal,5.5
P1,Angel,boise,11.5
P1,Angel,cuir,8.5
P1,Angel,epice,2.5
P1,Angel,fleuri,1.5
P1,Angel,fruite,8
P1,Angel,gourmande,12
P1,Angel,hesperides_agrumes,8
P1,Angel,oriental_vanille,12
P1,Angel,poudre,4
P1,Angel,vert,7.5
P1,Aromatics Elixir,aldehyde,11
P1,Aromatics Elixir,animal,11
P1,Aromatics Elixir,boise,11.5
P1,Aromatics Elixir,cuir,11
P1,Aromatics Elixir,epice,7.5
P1,Aromatics Elixir,fleuri,4
P1,Aromatics Elixir,fruite,3
P1,Aromatics Elixir,gourmande,2.5
P1,Aromatics Elixir,hesperides_agrumes,1
P1,Aromatics Elixir,oriental_vanille,4
P1,Aromatics Elixir,poudre,6
P1,Aromatics Elixir,vert,3
P1,Chanel5,aldehyde,12
P1,Chanel5,animal,7.5
P1,Chanel5,boise,8
P1,Chanel5,cuir,6
P1,Chanel5,epice,7.5
P1,Chanel5,fleuri,7
P1,Chanel5,fruite,1.5
P1,Chanel5,gourmande,2.5
P1,Chanel5,hesperides_agrumes,3
P1,Chanel5,oriental_vanille,7
P1,Chanel5,poudre,11
P1,Chanel5,vert,3
P1,Cinema,aldehyde,6.5
P1,Cinema,animal,9.5
P1,Cinema,boise,3.5
P1,Cinema,cuir,8.5
P1,Cinema,epice,10
P1,Cinema,fleuri,5.5
P1,Cinema,fruite,8
P1,Cinema,gourmande,10
P1,Cinema,hesperides_agrumes,5.5
P1,Cinema,oriental_vanille,9
P1,Cinema,poudre,5
P1,Cinema,vert,6
P1,Coco Mademoiselle,aldehyde,9.5
P1,Coco Mademoiselle,animal,9.5
P1,Coco Mademoiselle,boise,6.5
P1,Coco Mademoiselle,cuir,8.5
P1,Coco Mademoiselle,epice,2.5
P1,Coco Mademoiselle,fleuri,8.5
P1,Coco Mademoiselle,fruite,4.5
P1,Coco Mademoiselle,gourmande,9
P1,Coco Mademoiselle,hesperides_agrumes,10.5
P1,Coco Mademoiselle,oriental_vanille,5.5
P1,Coco Mademoiselle,poudre,8.5
P1,Coco Mademoiselle,vert,7.5
P1,JadoreEP,aldehyde,6.5
P1,JadoreEP,animal,2.5
P1,JadoreEP,boise,1.5
P1,JadoreEP,cuir,2.5
P1,JadoreEP,epice,5.5
P1,JadoreEP,fleuri,11
P1,JadoreEP,fruite,11
P1,JadoreEP,gourmande,5.5
P1,JadoreEP,hesperides_agrumes,10.5
P1,JadoreEP,oriental_vanille,3
P1,JadoreEP,poudre,2
P1,JadoreEP,vert,10.5
P1,JadoreET,aldehyde,6.5
P1,JadoreET,animal,2.5
P1,JadoreET,boise,1.5
P1,JadoreET,cuir,2.5
P1,JadoreET,epice,5.5
P1,JadoreET,fleuri,11
P1,JadoreET,fruite,11
P1,JadoreET,gourmande,5.5
P1,JadoreET,hesperides_agrumes,10.5
P1,JadoreET,oriental_vanille,1.5
P1,JadoreET,poudre,2
P1,JadoreET,vert,10.5
P1,Linstant,aldehyde,1
P1,Linstant,animal,2.5
P1,Linstant,boise,6.5
P1,Linstant,cuir,2.5
P1,Linstant,epice,2.5
P1,Linstant,fleuri,5.5
P1,Linstant,fruite,4.5
P1,Linstant,gourmande,8
