Consumer,Perfume,Liking
171,Angel,3
171,Aromatics Elixir,3
171,Chanel N5,7
171,Cinema,6
171,Coco Mademoiselle,6
171,J'adore EP,5
171,J'adore ET,6
171,L'instant,3
171,Lolita Lempicka,3
171,Pleasures,5
171,Pure Poison,6
171,Shalimar,3
553,Angel,3
553,Aromatics Elixir,5
553,Chanel N5,1
553,Cinema,4
553,Coco Mademoiselle,7
553,J'adore EP,8
553,J'adore ET,6
553,L'instant,4
553,Lolita Lempicka,3
553,Pleasures,6
553,Pure Poison,5
553,Shalimar,3
991,Angel,7
991,Aromatics Elixir,6
991,Chanel N5,8
991,Cinema,6
991,Coco Mademoiselle,7
991,J'adore EP,7
991,J'adore ET,8
991,L'instant,9
991,Lolita Lempicka,6
991,Pleasures,8
991,Pure Poison,7
991,Shalimar,6
1344,Angel,5
1344,Aromatics Elixir,6
1344,Chanel N5,8
1344,Cinema,8
1344,Coco Mademoiselle,6
1344,J'adore EP,9
1344,J'adore ET,7
1344,L'instant,6
1344,Lolita Lempicka,8
1344,Pleasures,7
1344,Pure Poison,7
1344,Shalimar,8
1661,Angel,5
1661,Aromatics Elixir,4
1661,Chanel N5,1
1661,Cinema,7
1661,Coco Mademoiselle,5
1661,J'adore EP,5
1661,J'adore ET,7
1661,L'instant,7
1661,Lolita Lempicka,7
1661,Pleasures,7
1661,Pure Poison,6
1661,Shalimar,3
1679,Angel,5
1679,Aromatics Elixir,4
1679,Chanel N5,5
1679,Cinema,6
1679,Coco Mademoiselle,5
1679,J'adore EP,6
1679,J'adore ET,5
1679,L'instant,3
1679,Lolita Lempicka,5
1679,Pleasures,7
1679,Pure Poison,5
1679,Shalimar,2
1755,Angel,9
1755,Aromatics Elixir,9
1755,Chanel N5,8
1755,Cinema,6
1755,Coco Mademoiselle,8
1755,J'adore EP,6
1755,J'adore ET,6
1755,L'instant,9
1755,Lolita Lempicka,8
1755,Pleasures,8
1755,Pure Poison,9
1755,Shalimar,9
1761,Angel,4
1761,Aromatics Elixir,6
1761,Chanel N5,5
1761,Cinema,5
1761,Coco Mademoiselle,5
1761,J'adore EP,6
1761,J'adore ET,7
1761,L'instant,7
1761,Lolita Lempicka,5
1761,Pleasures,6
1761,Pure Poison,5
1761,Shalimar,4
1801,Angel,6
1801,Aromatics Elixir,1
1801,Chanel N5,6
1801,Cinema,6
1801,Coco Mademoiselle,6
1801,J'adore EP,7
1801,J'adore ET,6
1801,L'instant,1
1801,Lolita Lempicka,5
1801,Pleasures,7
1801,Pure Poison,7
1801,Shalimar,4
1956,Angel,3
1956,Aromatics Elixir,5
1956,Chanel N5,6
1956,Cinema,7
1956,Coco Mademoiselle,7
1956,J'adore EP,7
1956,J'adore ET,7
1956,L'instant,5
1956,Lolita Lempicka,8
1956,Pleasures,6
1956,Pure Poison,5
1956,Shalimar,7
2119,Angel,5
2119,Aromatics Elixir,5
2119,Chanel N5,6
2119,Cinema,6
2119,Coco Mademoiselle,8
2119,J'adore EP,7
2119,J'adore ET,8
2119,L'instant,7
2119,Lolita Lempicka,7
2119,Pleasures,7
2119,Pure Poison,7
2119,Shalimar,5
2529,Angel,2
2529,Aromatics Elixir,1
2529,Chanel N5,6
2529,Cinema,4
2529,Coco Mademoiselle,7
2529,J'adore EP,7
2529,J'adore ET,6
2529,L'instant,7
2529,Lolita Lempicka,5
2529,Pleasures,6
2529,Pure Poison,6
2529,Shalimar,3
2909,Angel,2
2909,Aromatics Elixir,5
2909,Chanel N5,7
2909,Cinema,6
2909,Coco Mademoiselle,7
2909,J'adore EP,6
2909,J'adore ET,6
2909,L'instant,6
2909,Lolita Lempicka,5
2909,Pleasures,4
2909,Pure Poison,7
2909,Shalimar,7
2936,Angel,3
2936,Aromatics Elixir,5
2936,Chanel N5,3
2936,Cinema,9
2936,Coco Mademoiselle,7
2936,J'adore EP,7
2936,J'adore ET,6
2936,L'instant,6
2936,Lolita Lempicka,4
2936,Pleasures,8
2936,Pure Poison,6
2936,Shalimar,2
2996,Angel,5
2996,Aromatics Elixir,6
2996,Chanel N5,7
2996,Cinema,6
2996,Coco Mademoiselle,5
2996,J'adore EP,7
2996,J'adore ET,6
2996,L'instant,5
2996,Lolita Lempicka,5
2996,Pleasures,6
